SDSS_objID,redshift,M_r,M_r_err,gr,gr_err,logab,fracDeV,red
587729233053679879,0.0326,-20.40,0.01,0.429,0.017,0.085,0.15,0
587726031708749844,0.0499,-20.99,0.21,0.578,0.267,0.158,0.22,0
587730775490560392,0.0359,-20.61,0.01,0.612,0.017,0.192,0.07,0
588007004729049377,0.0587,-21.27,0.01,0.562,0.019,0.096,0.04,0
588017626161807411,0.0624,-21.50,0.01,0.509,0.016,0.093,0.10,0
587739720298791055,0.0709,-22.16,0.00,0.573,0.016,0.124,0.05,0
588015508218577082,0.0516,-21.22,0.01,0.592,0.018,0.021,0.17,0
587725817491816650,0.0677,-22.49,0.00,0.739,0.016,0.193,0.46,1
587726016679247934,0.0754,-21.40,0.01,0.525,0.020,0.109,0.00,0
587731890044403960,0.0771,-21.23,0.01,0.433,0.021,0.197,0.12,0
587741533330538595,0.0507,-21.10,0.00,0.533,0.016,0.144,0.00,0
587742059995725925,0.0598,-20.25,0.01,0.379,0.026,0.112,0.30,0
587731868562817139,0.0849,-20.60,0.02,0.441,0.034,0.079,0.44,0
587739648895746114,0.0823,-21.18,0.01,0.503,0.019,0.082,0.19,0
587738951491256419,0.0783,-21.52,0.01,0.598,0.018,0.132,0.00,0
587729409683685494,0.0424,-20.89,0.01,0.578,0.017,0.097,0.46,0
587729388228640872,0.0584,-20.66,0.01,0.375,0.024,0.153,0.14,0
587725040097951920,0.0721,-21.94,0.01,0.667,0.017,0.029,0.13,0
588017711513665669,0.0716,-22.41,0.01,0.522,0.017,0.148,0.30,0
587728309103362162,0.0483,-21.09,0.01,0.524,0.020,0.124,0.04,0
587732157389734231,0.0682,-21.53,0.01,0.536,0.017,0.090,0.17,0
588848900436525231,0.0345,-21.29,0.03,0.508,0.032,0.056,0.21,0
587730023327924399,0.0331,-20.60,0.01,0.557,0.017,0.098,0.31,0
587725474955526255,0.0708,-21.40,0.01,0.566,0.022,0.179,0.12,0
588015510346465416,0.0672,-20.49,0.02,0.438,0.033,0.081,0.13,0
587736813672595681,0.0392,-20.98,0.00,0.498,0.015,0.160,0.14,0
587731869634134116,0.0654,-21.01,0.01,0.532,0.020,0.036,0.41,0
587739809416610036,0.0457,-20.34,0.01,0.475,0.020,0.175,0.27,0
587738410325770397,0.0361,-20.40,0.01,0.550,0.018,0.057,0.00,0
587734948054630581,0.0456,-20.63,0.01,0.567,0.018,0.136,0.04,0
587741532240937117,0.0519,-21.32,0.01,0.511,0.018,0.065,0.10,0
587732578295677149,0.0662,-21.10,0.01,0.500,0.025,0.020,0.45,0
588017948272754887,0.0740,-20.87,0.01,0.532,0.020,0.041,0.17,0
587732484352049431,0.0599,-20.66,0.01,0.521,0.020,0.029,0.00,0
587738570310352982,0.0620,-20.47,0.01,0.538,0.024,0.015,0.29,0
587731680652361849,0.0648,-21.17,0.01,0.698,0.020,0.149,0.16,1
587728666654277742,0.0537,-21.46,0.01,0.597,0.017,0.190,0.13,0
587729651810238734,0.0603,-20.77,0.01,0.427,0.025,0.037,0.32,0
587726878346510565,0.0562,-20.26,0.01,0.366,0.027,0.145,0.34,0
587735428544004184,0.0621,-20.36,0.01,0.475,0.025,0.088,0.03,0
588009367475257496,0.0805,-20.90,0.02,0.487,0.032,0.031,0.24,0
588016890638696597,0.0419,-21.35,0.01,0.483,0.019,0.157,0.00,0
587727180087296098,0.0399,-21.49,0.00,0.656,0.016,0.142,0.35,0
587732702859165903,0.0369,-20.43,0.01,0.583,0.018,0.122,0.00,0
587733608549318873,0.0381,-20.72,0.01,0.560,0.017,0.087,0.44,0
587735241709715607,0.0769,-21.50,0.01,0.513,0.019,0.192,0.37,0
587737809566499090,0.0453,-21.51,0.01,0.609,0.019,0.043,0.19,0
587726031720349819,0.0738,-20.79,0.01,0.451,0.020,0.165,0.09,0
587724231569309775,0.0380,-20.92,0.00,0.535,0.016,0.023,0.31,0
587733398095003721,0.0309,-20.60,0.01,0.390,0.017,0.170,0.15,0
